xVariable,yVariable,marginalTaxRate,classification,xAxisLabel,yStart,countA,,,
21000,18095,0.2,0910,,,1,,,
21500,18495,0.2,0910,,,1,,,
22000,18895,0.2,0910,,,1,,,
22500,19295,0.2,0910,,,1,,,
23000,19695,0.2,0910,,,1,,,
23500,20095,0.2,0910,,,1,,,
24000,20495,0.2,0910,,,1,,,
24500,20895,0.2,0910,,,1,,,
25000,21295,0.2,0910,,,1,,,
25500,21695,0.2,0910,,,1,,,
26000,22095,0.2,0910,,,1,,,
26500,22495,0.2,0910,,,1,,,
27000,22895,0.2,0910,,,1,,,
27500,23295,0.2,0910,,,1,,,
28000,23695,0.2,0910,,,1,,,
28500,24095,0.2,0910,,,1,,,
29000,24495,0.2,0910,,,1,,,
29500,24895,0.2,0910,,,1,,,
30000,25295,0.2,0910,,,1,,,
30500,25695,0.2,0910,,,1,,,
31000,26095,0.2,0910,,,1,,,
31500,26495,0.2,0910,,,1,,,
32000,26895,0.2,0910,,,1,,,
32500,27295,0.2,0910,,,1,,,
33000,27695,0.2,0910,,,1,,,
33500,28095,0.2,0910,,,1,,,
34000,28495,0.2,0910,,,1,,,
34500,28895,0.2,0910,,,1,,,
35000,29295,0.2,0910,,,1,,,
35500,29695,0.2,0910,,,1,,,
36000,30095,0.2,0910,,,1,,,
36500,30495,0.2,0910,,,1,,,
37000,30895,0.2,0910,,,1,,,
37500,31295,0.2,0910,,,1,,,
38000,31695,0.2,0910,,,1,,,
38500,32095,0.2,0910,,,1,,,
39000,32495,0.2,0910,,,1,,,
39500,32895,0.2,0910,,,1,,,
40000,33295,0.2,0910,,,1,,,
40500,33695,0.2,0910,,,1,,,
41000,34095,0.2,0910,,,1,,,
41500,34495,0.2,0910,,,1,,,
42000,34895,0.2,0910,,,1,,,
42500,35295,0.2,0910,,,1,,,
43000,35695,0.2,0910,,,1,,,
43500,36095,0.2,0910,,,1,,,
43875,36395,0.2,0910,,,1,,,
43875,36395,0.4,0910,,,2,,,
44000,36470,0.4,0910,,,1,,,
44500,36770,0.4,0910,,,1,,,
45000,37070,0.4,0910,,,1,,,
45500,37370,0.4,0910,,,1,,,
46000,37670,0.4,0910,,,1,,,
46500,37970,0.4,0910,,,1,,,
47000,38270,0.4,0910,,,1,,,
47500,38570,0.4,0910,,,1,,,
48000,38870,0.4,0910,,,1,,,
48500,39170,0.4,0910,,,1,,,
49000,39470,0.4,0910,,,1,,,
49500,39770,0.4,0910,,,1,,,
50000,40070,0.4,0910,,,1,,,
50500,40370,0.4,0910,,,1,,,
51000,40670,0.4,0910,,,1,,,
51500,40970,0.4,0910,,,1,,,
52000,41270,0.4,0910,,,1,,,
52500,41570,0.4,0910,,,1,,,
53000,41870,0.4,0910,,,1,,,
53500,42170,0.4,0910,,,1,,,
54000,42470,0.4,0910,,,1,,,
54500,42770,0.4,0910,,,1,,,
55000,43070,0.4,0910,,,1,,,
55500,43370,0.4,0910,,,1,,,
56000,43670,0.4,0910,,,1,,,
56500,43970,0.4,0910,,,1,,,
57000,44270,0.4,0910,,,1,,,
57500,44570,0.4,0910,,,1,,,
58000,44870,0.4,0910,,,1,,,
58500,45170,0.4,0910,,,1,,,
59000,45470,0.4,0910,,,1,,,
59500,45770,0.4,0910,,,1,,,
60000,46070,0.4,0910,,,1,,,
60500,46370,0.4,0910,,,1,,,
61000,46670,0.4,0910,,,1,,,
61500,46970,0.4,0910,,,1,,,
62000,47270,0.4,0910,,,1,,,
62500,47570,0.4,0910,,,1,,,
63000,47870,0.4,0910,,,1,,,
63500,48170,0.4,0910,,,1,,,
64000,48470,0.4,0910,,,1,,,
64500,48770,0.4,0910,,,1,,,
65000,49070,0.4,0910,,,1,,,
65500,49370,0.4,0910,,,1,,,
66000,49670,0.4,0910,,,1,,,
66500,49970,0.4,0910,,,1,,,
67000,50270,0.4,0910,,,1,,,
67500,50570,0.4,0910,,,1,,,
68000,50870,0.4,0910,,,1,,,
68500,51170,0.4,0910,,,1,,,
69000,51470,0.4,0910,,,1,,,
69500,51770,0.4,0910,,,1,,,
70000,52070,0.4,0910,,,1,,,
70500,52370,0.4,0910,,,1,,,
71000,52670,0.4,0910,,,1,,,
71500,52970,0.4,0910,,,1,,,
72000,53270,0.4,0910,,,1,,,
72500,53570,0.4,0910,,,1,,,
73000,53870,0.4,0910,,,1,,,
73500,54170,0.4,0910,,,1,,,
74000,54470,0.4,0910,,,1,,,
74500,54770,0.4,0910,,,1,,,
75000,55070,0.4,0910,,,1,,,
75500,55370,0.4,0910,,,1,,,
76000,55670,0.4,0910,,,1,,,
76500,55970,0.4,0910,,,1,,,
77000,56270,0.4,0910,,,1,,,
