xVariable,yVariable,classification,xAxisLabel,yStart,marginalTaxRate,countA
9000,9000,Labour,,,0,1
9500,9500,Labour,,,0,1
10000,10000,Labour,,,0,1
10500,10500,Labour,,,0,1
11000,11000,Labour,,,0,1
11500,11500,Labour,,,0,1
12000,12000,Labour,,,0,1
12500,12500,Labour,,,0,1
12500,12500,Labour,,,0.2,2
13000,12900,Labour,,,0.2,1
13500,13300,Labour,,,0.2,1
14000,13700,Labour,,,0.2,1
14500,14100,Labour,,,0.2,1
15000,14500,Labour,,,0.2,1
15500,14900,Labour,,,0.2,1
16000,15300,Labour,,,0.2,1
16500,15700,Labour,,,0.2,1
17000,16100,Labour,,,0.2,1
17500,16500,Labour,,,0.2,1
18000,16900,Labour,,,0.2,1
18500,17300,Labour,,,0.2,1
19000,17700,Labour,,,0.2,1
19500,18100,Labour,,,0.2,1
20000,18500,Labour,,,0.2,1
20500,18900,Labour,,,0.2,1
21000,19300,Labour,,,0.2,1
21500,19700,Labour,,,0.2,1
22000,20100,Labour,,,0.2,1
22500,20500,Labour,,,0.2,1
23000,20900,Labour,,,0.2,1
23500,21300,Labour,,,0.2,1
24000,21700,Labour,,,0.2,1
24500,22100,Labour,,,0.2,1
25000,22500,Labour,,,0.2,1
25500,22900,Labour,,,0.2,1
26000,23300,Labour,,,0.2,1
26500,23700,Labour,,,0.2,1
27000,24100,Labour,,,0.2,1
27500,24500,Labour,,,0.2,1
28000,24900,Labour,,,0.2,1
28500,25300,Labour,,,0.2,1
29000,25700,Labour,,,0.2,1
29500,26100,Labour,,,0.2,1
30000,26500,Labour,,,0.2,1
30500,26900,Labour,,,0.2,1
31000,27300,Labour,,,0.2,1
31500,27700,Labour,,,0.2,1
32000,28100,Labour,,,0.2,1
32500,28500,Labour,,,0.2,1
33000,28900,Labour,,,0.2,1
33500,29300,Labour,,,0.2,1
34000,29700,Labour,,,0.2,1
34500,30100,Labour,,,0.2,1
35000,30500,Labour,,,0.2,1
35500,30900,Labour,,,0.2,1
36000,31300,Labour,,,0.2,1
36500,31700,Labour,,,0.2,1
37000,32100,Labour,,,0.2,1
37500,32500,Labour,,,0.2,1
38000,32900,Labour,,,0.2,1
38500,33300,Labour,,,0.2,1
39000,33700,Labour,,,0.2,1
39500,34100,Labour,,,0.2,1
40000,34500,Labour,,,0.2,1
40500,34900,Labour,,,0.2,1
41000,35300,Labour,,,0.2,1
41500,35700,Labour,,,0.2,1
42000,36100,Labour,,,0.2,1
42500,36500,Labour,,,0.2,1
43000,36900,Labour,,,0.2,1
43500,37300,Labour,,,0.2,1
44000,37700,Labour,,,0.2,1
44500,38100,Labour,,,0.2,1
45000,38500,Labour,,,0.2,1
45500,38900,Labour,,,0.2,1
46000,39300,Labour,,,0.2,1
46500,39700,Labour,,,0.2,1
47000,40100,Labour,,,0.2,1
47500,40500,Labour,,,0.2,1
48000,40900,Labour,,,0.2,1
48500,41300,Labour,,,0.2,1
49000,41700,Labour,,,0.2,1
49500,42100,Labour,,,0.2,1
50000,42500,Labour,,,0.2,1
50000,42500,Labour,,,0.4,2
50500,42800,Labour,,,0.4,1
51000,43100,Labour,,,0.4,1
51500,43400,Labour,,,0.4,1
52000,43700,Labour,,,0.4,1
52500,44000,Labour,,,0.4,1
